
"商品图片","商品圖片"
"确认删除?(<span style="color:red;">如果产品是已存在产品，此操作同时会将产品从产品列表中删除！</span>)","確認刪除?(<span style="color:red;">如果產品是已存在產品，此操作同時會將產品從產品列表中刪除！</span>)"
" 已经在采购/订单/仓储模块中使用，不能删除。建议改为下架状态"," 已經在採購/訂單/倉儲模組中使用，不能刪除。建議改為下架狀態"
"请输入产品sku","請輸入產品sku"
"数量(套装中)","數量(套裝中)"
"sku已在本捆绑产品的子产品列表中，不能重复使用！","sku已在本捆綁產品的子產品列表中，不能重複使用！"
"不可选的产品类型","不可選的產品類型"
"是一个变参产品合集，不能用于捆绑产品(只有普通产品和变参子产品可以用于捆绑)！","是一個變參產品合集，不能用於捆綁產品(只有普通產品和變參子產品可以用於捆綁)！"
"是一个捆绑产品，不支持多级捆绑(只有普通产品和变参子产品可以用于捆绑)！","是一個捆綁產品，不支持多級捆綁(只有普通產品和變參子產品可以用於捆綁)！"
"sku无效","sku無效"
"不存在，请输入以录入的产品sku","不存在，請輸入以錄入的產品sku"
"变参父sku的默认生成子产品sku格式：SKU_x，已有产品存在相似sku，自动生成功能关闭，需要手动编辑子产品sku。","變參父sku的默認生成子產品sku格式：SKU_x，已有產品存在相似sku，自動生成功能關閉，需要手動編輯子產品sku。"
"还没有上传图片，请于"图片信息"处上传图片。","還沒有上傳圖片，請於"圖片資訊"處上傳圖片。"
"选择已上传图片作为子产品主图","選擇已上傳圖片作為子產品主圖"
"请选择图片","請選擇圖片"
"未选定图片作为子产品主图！请选择一张图片","未選定圖片作為子產品主圖！請選擇一張圖片"
"属性集/属性值","屬性集/屬性值"
"修改属性请到‘属性集’修改","修改屬性請到‘屬性集’修改"
"非当前sku产品，不能修改","非當前sku產品，不能修改"
"文件上传失败,请按'F5'刷新页面再操作导入产品。","檔上傳失敗,請按'F5'刷新頁面再操作導入產品。"
"上传文件为不支持文件格式,目前只支持导入XLS格式文件。请将文件另存为XLS格式或下载示例文件在上面修改。","上傳檔為不支持檔格式,目前只支持導入XLS格式檔。請將檔另存為XLS格式或下載示例檔在上面修改。"
"全部表格为空","全部表格為空"
" 产品 sku 未填写"," 產品 sku 未填寫"
" SKU必须为英文,数字横线或下划线 "," SKU必須為英文,數字橫線或下劃線 "
" SKU太长 (最大值为 30 个字符) "," SKU太長 (最大值為 30 個字元) "
" 产品sku: "," 產品sku: "
" 已存在 "," 已存在 "
" 产品名称未填写 "," 產品名稱未填寫 "
" 产品名称太长 (最大值为 250 个字符) "," 產品名稱太長 (最大值為 250 個字元) "
" 中文配货名称未填写 "," 中文配貨名稱未填寫 "
" 中文配货名称太长 (最大值为 250 个字符) "," 中文配貨名稱太長 (最大值為 250 個字元) "
" 英文配货名称未填写 "," 英文配貨名稱未填寫 "
" 英文配货名称太长 (最大值为 250 个字符) "," 英文配貨名稱太長 (最大值為 250 個字元) "
" 中文报关名称未填写 "," 中文報關名稱未填寫 "
" 中文报关名称太长 (最大值为 100 个字符) "," 中文報關名稱太長 (最大值為 100 個字元) "
" 英文报关名称未填写 "," 英文報關名稱未填寫 "
" 英文报关名称太长 (最大值为 100 个字符) "," 英文報關名稱太長 (最大值為 100 個字元) "
"导入产品创建","導入產品創建"
" 分类 "," 分類 "
" 创建失败 "," 創建失敗 "
" 不是最末端的分类 "," 不是最末端的分類 "
" 品牌"," 品牌"
" 供应商"," 供應商"
" 不存在 "," 不存在 "
" 已停用 "," 已停用 "
" 标签太长 (最大值为 100 个字符) "," 標籤太長 (最大值為 100 個字元) "
"产品图片","產品圖片"
"重复","重複"
"主图片","主圖片"
"地址无效","地址無效"
"导入中止,上传产品中存在相同的 sku:","導入中止,上傳產品中存在相同的 sku:"
" 产品 sku 未填写 "," 產品 sku 未填寫 "
"文件找不到","檔案找不到"
"该SKU已经存在，请重新修改！","該SKU已經存在，請重新修改！"
"变参关系保存失败！","變參關係保存失敗！"
"已经存在，信息更新成功！","已經存在，資訊更新成功！"
"没有找到别名","沒有找到別名"
"sku不正确","sku不正確"
"已存在同名参数！","已存在同名參數！"
"保存失败","保存失敗"
"参数名称不能为空！","參數名稱不能為空！"
"未指定删除项！","未指定刪除項！"










